REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
2,4,12,2,4,7,4,2,4,1,1,18466,3186.707,3068.795,2968.45,1515.504,7726.545,1315,226.932,218.535,211.389,107.922,550.222
4,10,26,2,5,6,6,1,2,1,0,5148,0,181.998,0,1310.22,3655.782,475,0,16.793,0,120.893,337.315
1,1,1,5,1,3,1,1,1,1,0,2218,0,184.459,0,915.664,1117.878,588,0,48.901,0,242.746,296.353
2,3,7,2,1,5,1,2,5,0,0,10015,0,1063.022,1887.531,1670.534,5393.913,952,0,101.048,179.424,158.797,512.731
1,1,1,3,1,5,1,1,2,1,0,2869,0,0,0,346.468,2522.532,705,0,0,0,85.138,619.862
2,4,10,2,1,1,2,1,1,1,1,6387,0,274.53,0,920.454,5192.016,1050,0,45.132,0,151.319,853.549
1,2,3,2,4,1,4,2,4,1,1,11821,468.774,1224.714,0,1605.015,8522.497,2444,96.919,253.21,0,331.838,1762.032
3,5,17,2,3,4,6,1,2,1,1,22928,1661.212,6129.163,4527.442,743.228,9866.955,2622,189.962,700.88,517.721,84.99,1128.303
1,2,5,3,4,1,1,1,2,2,0,9130,3205.462,401.146,1397.102,1563.8,2562.49,1240,435.353,54.482,189.749,212.389,348.027
2,4,12,2,4,2,1,1,2,1,0,7474,521.531,1080.527,0,926.619,4945.323,655,45.705,94.694,0,81.206,433.394
4,10,26,4,2,2,1,1,1,1,0,2750,0,0,0,1313.005,1436.995,373,0,0,0,178.091,194.909
1,2,4,2,4,3,3,2,2,1,1,11807,0,1343.896,0,2297.196,8165.908,2154,0,245.173,0,419.087,1489.74
4,10,27,2,3,2,2,1,4,1,0,9775,0,0,1730.518,1142.417,6902.065,2112,0,0,373.898,246.832,1491.27
3,5,15,5,4,5,1,1,2,1,0,6335,1272.836,889.995,882.446,499.412,2790.311,718,144.261,100.871,100.015,56.603,316.25
4,8,23,5,1,5,1,1,1,0,0,4031,0,557.754,0,1133.513,2339.733,342,0,47.321,0,96.17,198.509
3,5,14,2,4,6,2,2,4,1,1,13020,0,2396.059,1797.665,1639.417,7186.86,1327,0,244.207,183.218,167.09,732.486
3,5,16,2,4,3,1,1,1,0,0,2079,0,441.678,0,283.034,1354.288,271,0,57.573,0,36.894,176.533
1,2,3,4,4,1,2,1,0,1,1,2477,0,0,0,1093.245,1383.755,425,0,0,0,187.577,237.423
4,8,22,1,1,6,3,1,1,1,0,6877,0,0,0,1550.469,5326.531,679,0,0,0,153.085,525.915
